                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95754,                 2.0391,                 1.5303,                  0.488,                0.16667,                0.15326,                0.02336,                 2.2365,                 3.7041,                 2.5001,               0.006634,               0.006634,               0.006634
                     36,                0.79827,                 1.5236,                 1.3009,                 0.1081,                   0.25,                0.06817,                0.02022,                 2.4088,                 4.3678,                 2.7064,               0.006535,               0.006535,               0.006535
                     37,                0.82182,                 1.2877,                 1.3386,                 0.1081,                   0.25,                0.06817,                0.02022,                 2.4088,                 4.3678,                 2.7064,               0.006436,               0.006436,               0.006436
                     38,                0.82227,                 1.3752,                  1.349,                 0.1081,                   0.25,                0.06817,                0.02022,                 2.4088,                 4.3678,                 2.7064,               0.006337,               0.006337,               0.006337
                     39,                0.81256,                 1.3041,                 1.3392,                0.42267,                   0.25,                0.21762,                0.04679,                 2.2693,                 3.7161,                 2.5717,               0.006238,               0.006238,               0.006238
                     40,                0.71737,                  1.256,                 1.2142,                0.42267,                   0.25,                0.21762,                0.04679,                 2.2693,                 3.7161,                 2.5717,               0.006139,               0.006139,               0.006139
                     41,                0.73587,                 1.2292,                 1.2529,                0.45653,                0.33333,                0.22272,                0.11472,                 2.1788,                 3.1003,                 2.3048,                0.00604,                0.00604,                0.00604
                     42,                0.85943,                 1.4046,                 1.3901,                0.45653,                0.33333,                0.22272,                0.11472,                 2.1788,                 3.1003,                 2.3048,               0.005941,               0.005941,               0.005941
                     43,                0.74699,                 1.2871,                 1.2877,                0.45653,                0.33333,                0.22272,                0.11472,                 2.1788,                 3.1003,                 2.3048,               0.005842,               0.005842,               0.005842
                     44,                0.77841,                 1.1988,                 1.2258,                0.59509,                0.41667,                0.38716,                0.12533,                 2.1969,                 2.8405,                 2.4031,               0.005743,               0.005743,               0.005743
                     45,                0.71778,                 1.0698,                 1.1742,                0.59509,                0.41667,                0.38716,                0.12533,                 2.1969,                 2.8405,                 2.4031,               0.005644,               0.005644,               0.005644
                     46,                0.73432,                 1.3313,                 1.2522,                0.59509,                0.41667,                0.38716,                0.12533,                 2.1969,                 2.8405,                 2.4031,               0.005545,               0.005545,               0.005545
                     47,                0.87823,                 1.3588,                 1.3278,                0.47281,                0.33333,                0.22078,                0.07717,                 2.4105,                 3.1251,                 2.8313,               0.005446,               0.005446,               0.005446
                     48,                0.88608,                 1.4646,                 1.4356,                0.47281,                0.33333,                0.22078,                0.07717,                 2.4105,                 3.1251,                 2.8313,               0.005347,               0.005347,               0.005347
                     49,                 0.8532,                 1.2581,                 1.2778,                0.45121,                0.41667,                0.22365,                0.10956,                 2.3101,                 3.3794,                 2.6782,               0.005248,               0.005248,               0.005248
                     50,                0.83402,                 1.2762,                 1.2968,                0.45121,                0.41667,                0.22365,                0.10956,                 2.3101,                 3.3794,                 2.6782,               0.005149,               0.005149,               0.005149
                     51,                0.87533,                 1.4983,                 1.3457,                0.45121,                0.41667,                0.22365,                0.10956,                 2.3101,                 3.3794,                 2.6782,                0.00505,                0.00505,                0.00505
                     52,                0.85477,                 1.3899,                  1.343,                0.40272,                0.41667,                0.18593,                0.07993,                 2.2237,                 3.4638,                 2.5168,               0.004951,               0.004951,               0.004951
                     53,                0.70843,                 1.1809,                 1.1737,                0.40272,                0.41667,                0.18593,                0.07993,                 2.2237,                 3.4638,                 2.5168,               0.004852,               0.004852,               0.004852
                     54,                0.67249,                 1.1455,                  1.187,                0.17892,                   0.25,                0.09843,                0.04128,                 2.1826,                 3.7741,                 2.4761,               0.004753,               0.004753,               0.004753
                     55,                0.82171,                 1.3019,                  1.342,                0.17892,                   0.25,                0.09843,                0.04128,                 2.1826,                 3.7741,                 2.4761,               0.004654,               0.004654,               0.004654
                     56,                0.74169,                 1.1457,                 1.2688,                0.17892,                   0.25,                0.09843,                0.04128,                 2.1826,                 3.7741,                 2.4761,               0.004555,               0.004555,               0.004555
                     57,                0.86829,                 1.3585,                 1.3469,                0.10599,                0.16667,                0.07703,                0.03267,                 2.2565,                  3.778,                 2.5967,               0.004456,               0.004456,               0.004456
                     58,                0.70362,                 1.1898,                  1.235,                0.10599,                0.16667,                0.07703,                0.03267,                 2.2565,                  3.778,                 2.5967,               0.004357,               0.004357,               0.004357
                     59,                0.75756,                 1.3358,                  1.308,                0.10599,                0.16667,                0.07703,                0.03267,                 2.2565,                  3.778,                 2.5967,               0.004258,               0.004258,               0.004258
                     60,                0.67057,                 1.1305,                 1.2385,                0.16866,                   0.25,                0.08816,                0.02865,                 2.1835,                 4.0337,                 2.4742,               0.004159,               0.004159,               0.004159
                     61,                0.74565,                 1.3609,                 1.3449,                0.16866,                   0.25,                0.08816,                0.02865,                 2.1835,                 4.0337,                 2.4742,                0.00406,                0.00406,                0.00406
